Button               :The Button
ComplicatedWires     :Complicated Wires
Keypad               :Keypad
Maze                 :Maze
Memory               :Memory
MorseCode            :Morse Code
NeedyCapacitor       :Needy Capacitor
NeedyKnob            :Needy Knob
NeedyVentGas         :Needy Vent Gas
Password             :Password
SimonSays            :Simon Says
WhosOnFirst          :Who's on First
Wires                :Wires
WireSequence         :Wire Sequence

AdventureGame        :Adventure Game
ColourFlash          :Colour Flash
EmojiMath            :Emoji Math
Hexamaze             :Hexamaze
Laundry              :Laundry
Listening            :Listening
PianoKeys            :Piano Keys
SillySlots           :Silly Slots
SimonStates          :Simon States
Souvenir             :Souvenir
ThirdBase            :Third Base
